Data,H,|I|,Out-Acc,In-Acc,Sol-Time,Gap,ObjVal,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-Time,FRAC-CB-Time,CB-Eps,Model,Time Limit,Rand. State,% Fixed,Calibration,CC,Single Feature Use,Level Tree,Max Features,Super Feature
soybean-small_enc,5,23,0.7083333333333334,0.8695652173913043,0.6283040046691895,0.0,20.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,2,False
soybean-small_enc,5,23,1.0,1.0,0.6870810985565186,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,3,False
soybean-small_enc,5,23,1.0,1.0,0.9809739589691162,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,4,False
soybean-small_enc,5,23,1.0,1.0,0.764103889465332,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,5,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.9231729507446289,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,6,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.9518508911132812,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,7,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.9047908782958984,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,8,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.9278738498687744,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,9,False
soybean-small_enc,5,23,1.0,1.0,0.719397783279419,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,10,False
soybean-small_enc,5,23,1.0,1.0,0.46344494819641113,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,11,False
soybean-small_enc,5,23,1.0,1.0,0.5017240047454834,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,12,False
soybean-small_enc,5,23,1.0,1.0,0.5408980846405029,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,13,False
soybean-small_enc,5,23,1.0,1.0,0.50496506690979,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,14,False
soybean-small_enc,5,23,0.7916666666666666,1.0,0.7017819881439209,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,15,False
soybean-small_enc,5,23,0.7916666666666666,1.0,0.4962198734283447,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,16,False
soybean-small_enc,5,23,0.7916666666666666,1.0,0.394711971282959,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,17,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.37162208557128906,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,18,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.35950183868408203,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,19,False
soybean-small_enc,5,23,0.8333333333333334,1.0,0.3730599880218506,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,20,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.39809107780456543,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,21,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.4522521495819092,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,22,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.3575470447540283,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,23,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.3425931930541992,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,24,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.3211019039154053,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,25,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.3682889938354492,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,26,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.3384249210357666,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,27,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.30935120582580566,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,28,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.613685131072998,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,29,False
soybean-small_enc,5,23,0.9166666666666666,1.0,0.2786250114440918,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,30,False
soybean-small_enc,5,23,0.9583333333333334,1.0,0.2611660957336426,0.0,23.0,0,0,0,0,0,0,0,CUT2,3600,138,0,True,False,False,None,31,False
soybean-small_enc,5,23,0.2916666666666667,0.5652173913043478,0.061953067779541016,0.0,13.0,0,0,0,0,0,0,0,AGHA,3600,15,0,False,False,False,None,1,False
